Vote_Data_Donald_Trump_Percent_of_Votes,Vote_Data_Ted_Cruz_Percent_of_Votes,Vote_Data_John_Kasich_Percent_of_Votes,Vote_Data_Marco_Rubio_Percent_of_Votes,Vote_Data_Ben_Carson_Percent_of_Votes
33.8,11.6,25.8,18.2,6.6
46.9,9.1,21,17.5,2.8
50.9,14.3,14.8,12.7,5
24.2,53.7,4.4,7.7,4
63.8,14.2,20.1,0,0
57.7,10.2,30.6,0,0
44.2,24.2,3.8,20.5,6.8
33.1,11.7,26.1,18.9,4.3
74.3,10.6,4,0,0
62.7,8.7,10,12.1,3.2
67.5,16.2,16.4,0,0
81.6,7.3,6.2,0,0
59.7,11.2,27.2,0,0
56.2,14.2,8.7,13.3,5
31.6,9.6,29.4,20.6,4.4
56.9,19.8,23.3,0,0
26.5,7.2,32.8,30.6,1.4
62.6,11.4,24,0,0
64.2,19.7,16,0,0
52,24.4,2.7,13.7,6
31,53.4,3.4,5.2,6.9
49.7,21.8,28.5,0,0
0,0,0,0,0
49.3,12.9,7.2,28.4,0
50.8,30.6,10.8,4.8,0
56.7,35.7,4.9,0,0
77,11,4.6,0,0
49.5,15.5,31,1.9,0
64.7,18.3,17.1,0,0
28.1,48,2.4,10.6,5.6
37.1,50.8,10,0,0
67.3,16.8,15.9,0,0
52.5,20.8,16.4,7.9,0
49.4,11.7,4.8,24.9,8.1
39.1,26.1,4.8,22.9,5.9
31.1,44,2.4,11.7,9.1
25.9,36.8,0.7,13.1,9.8
41.6,34.4,13.1,7.5,0
69.7,11.7,2.1,13.8,2.4
50,17.6,2.8,20.4,7.5
36.3,6.2,30.8,13.7,7.5
56.6,18.8,22.2,0,0
24.9,30.6,1.5,21.9,9.6
32.3,18,6.4,29.7,11.6
63.3,16.7,9.9,0,0
77.1,12.5,10.4,0,0
51.3,34.5,11.5,0,0
40.3,37.1,8.1,13.5,0
37.7,26,5.4,21.4,7.9
56.5,17,4.2,11.6,8.5
30.9,41.9,15.5,9.1,0
39.5,30.7,17.4,8.3,0
45.1,30.7,2.1,14.3,6.2
44.1,37.8,8.7,6.2,0
40,6.5,31.4,16.2,4.3
29.8,51.7,2.2,7.8,4
58.7,12.7,26.4,0,0
52.1,10.2,14.5,18.8,2.2
76.3,7.2,16.4,0,0
28.9,8.5,35.3,21.5,2.5
31,39.7,4.1,15.5,5.1
49.9,35.8,10.5,0,0
73.3,9.5,15.6,0,0
66,11.4,10.5,0,0
53.8,16.7,2.7,13.3,11.8
24.2,36.5,0.3,15.9,11.9
43.1,25.9,11.6,15.9,0
50.5,37,5.9,4.5,0
61.6,20.2,8.5,0,0
39.6,14.5,41.6,2.4,0
56.8,21.9,19.4,0,0
80.4,7.5,7.4,0,0
24,47.9,5.2,20.4,0
71.1,16.3,12.6,0,0
48.8,25.9,2.5,15.5,6.3
42.6,38.1,10.5,6.5,0
69.3,11.1,10.7,0,0
24.4,15.6,27.8,21.7,7.2
10.4,70.9,18.7,0,0
34.6,43.9,7,10.7,0
29.1,42.2,2,17.9,7.2
27.1,5.3,45.9,16.5,2.3
83,6.6,7.1,0,0
35.3,45.2,5.3,11.3,0
38,35.1,11.3,12.5,0
43.8,40.7,3.4,6.9,0
43.7,39.2,8.3,5.4,0
45.4,37.1,8.3,5.7,0
29.1,43.1,2.7,15.8,4.7
45.1,19.4,4.8,16.3,11.8
41.6,34.4,1,18.4,2.7
45.3,30.8,2.3,17.8,0
50.8,23.3,3.4,15.4,6.5
24.4,28.5,1.3,21.7,6.6
48.5,36.4,7.4,5.9,0
36.4,27.9,20.9,9,0
55,33.8,4.8,3.5,0
35.2,24.6,4.8,18.4,6.1
33,44.5,2.2,12.6,3.5
83.5,5.6,4.2,0,0
30.4,49.7,2.3,8.5,4.2
41.6,43.2,7.7,4.9,0
26.9,37.3,16.2,17.4,0
34.8,52.7,10.3,0,0
58.2,20.5,17.4,0,0
41.8,24.1,12.2,15.1,0
65.2,20.7,12,0,0
25.2,6.8,34,29.3,1.8
27.1,9.5,33,21.7,4.8
48.5,18.7,4.7,19.4,7.2
54.9,30,8.5,4.7,0
51.7,29.5,6.5,9.7,0
75.2,9.8,15,0,0
46.4,37.1,3.9,9.4,0
58.8,21.9,15.4,0,0
